domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
leonkoekemoer.co.za,Leon Koekemoer | attooh! Your Wealth Solution,,AUS,62,23960,2026-01-08T02:37:47.042893605Z,"['Amazon S3 CDN', 'Apture Linking Platform', 'Authorize.net', 'Content Delivery Network', 'DAV', 'Financial Services Guide', 'Fireblade', 'GZIP Module', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Nuxt.js', 'QUIC', 'Storyblocks', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'eMoney']"
tobiemolefe.co.za,Tobie Molefe | attooh! Your Wealth Solution,,AUS,67,23960,2026-01-06T16:21:28.070080038Z,"['Amazon S3 CDN', 'Apture Linking Platform', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'DAV', 'Financial Services Guide', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Nuxt.js', 'QUIC', 'Storyblocks', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'eMoney']"
raleighwealthsolutions.com,Need Financial Advice? We Can Help. | Raleigh Wealth Solutions,,USA,92,90947,2026-01-05T08:44:51.297919045Z,"['Alternate Protocol', 'Amazon CloudFront', 'Amazon Widgets', 'Beaver Builder Lite', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Contento', 'EmbedPress', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fastly', 'Financial Industry Regulatory Authority', 'GZIP Module', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Hotjar', 'Max Mega Menu Pro', 'Microdata for Google Shopping', 'PHP', 'SMC', 'Schema Plugin', 'The Events Calendar', 'Theme In WP', 'UTF-8', 'Vimeo', 'Wistia', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'Yandex Hosting', 'YouTube', 'accessiBe', 'eMoney', 'jQuery']"
lubabalosibhaca.co.za,Lubabalo Sibhaca | attooh! Your Wealth Solution,,AUS,77,23960,2026-01-01T05:11:51.899266313Z,"['Amazon S3 CDN', 'Apture Linking Platform', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'DAV', 'Financial Services Guide', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Nuxt.js', 'QUIC', 'Storyblocks', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'eMoney', 'shadcn ui']"
mornevictor.co.za,Morne Victor | attooh! Your Wealth Solution,,,67,23960,2025-12-29T09:16:38.327879697Z,"['Amazon S3 CDN', 'Apture Linking Platform', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'DAV', 'Financial Services Guide', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Nuxt.js', 'QUIC', 'Storyblocks', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'eMoney', 'shadcn ui']"
benventer.co.za,Ben Venter | attooh! Your Wealth Solution,,,67,38960,2025-12-26T12:43:38.338627081Z,"['AWS WAF Challenge', 'Amazon S3 CDN', 'Apture Linking Platform', 'Authorize.net', 'Content Delivery Network', 'DAV', 'Financial Services Guide', 'Fireblade', 'GZIP Module', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Nuxt.js', 'QUIC', 'Storyblocks', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'eMoney']"
renedupreez.co.za,Rene du Preez | attooh! Your Wealth Solution,,,67,23960,2025-12-25T05:07:38.315872168Z,"['Amazon S3 CDN', 'Apture Linking Platform', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'DAV', 'Financial Services Guide', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Nuxt.js', 'QUIC', 'Storyblocks', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'eMoney']"
jacquesvanzyl.co.za,Jacques Van Zyl | attooh! Your Wealth Solution,,AUS,67,23960,2025-12-24T04:56:01.085509863Z,"['Amazon S3 CDN', 'Apture Linking Platform', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'DAV', 'Financial Services Guide', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Nuxt.js', 'QUIC', 'Storyblocks', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'eMoney']"
bertusbadenhorst.co.za,Bertus Badenhorst | attooh! Your Wealth Solution,,AUS,77,23960,2025-12-23T13:11:35.02611251Z,"['Amazon S3 CDN', 'Apture Linking Platform', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'DAV', 'Financial Services Guide', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Nuxt.js', 'QUIC', 'Storyblocks', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'eMoney']"
robertlauwrens.co.za,Robert Lauwrens | attooh! Your Wealth Solution,,,67,23960,2025-12-22T19:04:38.322629955Z,"['Amazon S3 CDN', 'Apture Linking Platform', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'DAV', 'Financial Services Guide', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Nuxt.js', 'QUIC', 'Storyblocks', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'eMoney']"
